ID;Название лида;Обращение;Имя;Фамилия;Отчество;Имя, Фамилия;Дата рождения;Адрес;Улица, номер дома;Квартира, офис, комната, этаж;Населенный пункт;Район;Регион;Почтовый индекс;Страна;Рабочий телефон;Мобильный телефон;Номер факса;Домашний телефон;Номер пейджера;Телефон для рассылок;Другой телефон;Корпоративный сайт;Личная страница;Страница Facebook;Страница ВКонтакте;Страница LiveJournal;Микроблог Twitter;Другой сайт;Рабочий e-mail;Частный e-mail;E-mail для рассылок;Другой e-mail;Контакт Facebook;Контакт Telegram;Контакт ВКонтакте;Контакт Skype;Контакт Viber;Комментарии Instagram;Контакт Битрикс24 Network;Онлайн-чат;Контакт Открытая линия;Контакт ICQ;Контакт MSN/Live!;Контакт Jabber;Другой контакт;Связанный пользователь;Название компании;Должность;Комментарий;Стадия;Дополнительно о стадии;Товар;Цена;Количество;Возможная сумма;Валюта;Источник;Дополнительно об источнике;Доступен для всех;Ответственный;roistat;ИНН;Часовой пояс;Конечная цена контракта;Максимальная цена контракта;Срок поставки;Ссылка;Сумма гарантии;Документация(ссылки);Номер извещения;Тип;Кампания;Ключевая фраза;GOOGLE_ID;YANDEX_ID;Точка входа;Город;Запись звонка;РК;Содержание РК;Точка отправки формы;категория А;категория В;категория С;Условия поставки - отображаются в спецификации;Форма захвата;Новая строка;Дата извещения;Окончание подачи заявок;Рассмотрение заявок;Проведение аукциона;Площадка;Предмет закупки;Тип закупки;Список оборудования;Оборудование у клиента;Закупка по тендеру;Новое поле - логистам;Причина отказа по лиду;ya_client_id;ga_client_id;UF_CRM_SP_UNSUBSCR;В ЧЕМ ПРИЧИНА СЛИВА?;Instagram;GA_CID;VK_WZ;TelegramUsername_WZ;TelegramId_WZ;Avito_WZ;WhatsApp Group Id;Telegram Group Id;Часовой пояс (для фильтра);Услуга
21;"ООО ""АГРОСИЛА-МОЛОКО""";;;;;;;;;;;;;;;;;;;;;;https://www.rusprofile.ru/id/11056096?utm_source=tender-win.ru;;;;;;;;;;;;;;;;;;;;;;;;;;;Аванс 50% за уплотнения и пластины теплообменного оборудования. по договору № АМ-2023/92 от 28.08.2023г. согл. Счет на оплату № 241122946/1 от 20.09.2023Сумма 770154-00В т.ч. НДС(20%) 128359-00;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1650350325;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;"ООО ""СИРИНА""";;;;;;;;;;;;;;;;;;;;;;https://www.rusprofile.ru/;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету № 195 от 08.08.2022г. Сумма 110740-00 В т.ч. НДС (20%) 18456-67;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1650411850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
